YEAR,MONTH,STATEFIP,WTFINL,EARNWEEK2,AGE,SEX,OCC,UHRSWORKT,EDUC
2020,3,53,,1500.0,54,1,5600,40,111
2020,3,13,,800.0,33,1,6200,997,20
2020,3,42,,1670.0,47,1,726,40,111
2020,3,6,,924.0,70,1,2205,40,123
2020,3,32,,2885.0,50,1,9030,40,111
2020,3,29,,1290.0,56,1,140,40,92
2020,3,12,,522.0,25,2,5310,36,81
2020,3,45,,1560.0,47,2,2320,40,123
2020,3,56,,720.0,59,2,5740,40,73
2020,3,36,,350.0,29,2,4110,35,73
2020,3,29,,1600.0,45,1,52,40,111
2020,3,32,,590.0,59,1,6230,40,2
2020,3,38,,1192.0,47,2,2310,40,123
2020,3,9,,120.0,17,2,4720,10,60
2020,3,24,,352.0,61,1,8740,30,92
2020,3,27,,260.0,16,1,4720,20,40
2020,3,54,,1110.0,60,2,3255,37,111
2020,3,6,,368.0,67,1,5120,35,30
2020,3,49,,900.0,48,2,540,40,73
2020,3,16,,1154.0,50,2,2014,40,73
2020,3,44,,300.0,28,1,7640,997,73
2020,3,1,,526.0,21,2,4760,40,91
2020,3,6,,400.0,37,1,3930,40,92
2020,3,47,,400.0,62,2,5630,40,81
2020,3,51,,2885.0,46,1,1006,40,111
2020,3,34,,880.0,48,1,6442,40,73
2020,3,41,,1062.0,38,2,1745,40,111
2020,3,50,,384.0,32,2,3602,40,73
2020,3,49,,1026.0,30,2,3520,38,111
2020,3,48,,1920.0,50,1,4220,50,123
2020,3,39,,680.0,49,2,5110,40,73
2020,3,9,,2885.0,43,1,440,40,123
2020,3,51,,1058.0,55,1,1006,40,111
2020,3,31,,2885.0,54,1,10,50,124
2020,3,6,,2160.0,37,1,3160,45,125
2020,3,20,,176.0,38,2,4720,32,81
2020,3,36,,1540.0,32,1,60,40,123
2020,3,4,,984.0,58,1,8740,40,73
2020,3,36,,1580.0,46,1,6442,40,73
2020,3,8,,190.0,30,2,1065,40,124
2020,3,55,,640.0,35,1,8990,40,73
2020,3,5,,1240.0,53,2,10,997,111
2020,3,47,,1290.0,54,2,1555,40,111
2020,3,6,,600.0,55,1,9600,40,30
2020,3,36,,400.0,39,1,6600,997,73
2020,3,41,,926.0,29,2,5220,37,73
2020,3,22,,842.0,36,1,2555,40,81
2020,3,26,,1920.0,67,2,630,55,111
2020,3,5,,1540.0,54,2,120,40,111
2020,3,33,,1250.0,35,1,9130,65,81
2020,3,36,,2600.0,26,1,110,40,111
2020,3,48,,1200.0,31,2,960,50,81
2020,3,17,,500.0,27,1,4760,40,73
2020,3,45,,1640.0,40,1,110,50,91
2020,3,35,,2300.0,56,1,10,40,123
2020,3,38,,736.0,42,1,7750,43,73
2020,3,42,,726.0,64,1,4020,50,73
2020,3,28,,160.0,67,2,8320,24,81
2020,3,34,,1076.0,52,1,6220,50,50
2020,3,11,,962.0,50,2,440,50,111
2020,3,12,,2500.0,34,2,3050,40,125
2020,3,24,,1500.0,42,1,820,40,111
2020,3,38,,1540.0,63,1,4240,40,81
2020,3,11,,200.0,23,1,2320,40,111
2020,3,31,,472.0,64,2,4700,40,73
2020,3,16,,1250.0,25,1,310,997,73
2020,3,49,,350.0,20,1,6230,40,73
2020,3,15,,2120.0,51,1,7430,48,111
2020,3,48,,480.0,53,2,4760,40,73
2020,3,49,,1410.0,51,2,440,40,91
2020,3,25,,1540.0,52,1,1430,40,73
2020,3,29,,924.0,51,1,5600,40,111
2020,3,45,,1330.0,49,2,2310,997,123
2020,3,51,,1240.0,44,1,4200,40,81
2020,3,48,,800.0,56,1,7315,40,73
2020,3,25,,1870.0,61,1,4700,40,111
2020,3,34,,992.0,43,2,5150,40,123
2020,3,39,,500.0,62,2,910,40,111
2020,3,11,,1920.0,35,1,2810,40,123
2020,3,27,,300.0,23,1,4110,40,81
2020,3,6,,590.0,23,2,9640,40,73
